"state","year","personal_income"
"Alabama","1948",10467.9
"Alabama","1949",10053.8
"Alabama","1950",11245.3
"Alabama","1951",13108.8
"Alabama","1952",13947.9
"Alabama","1953",14571.1
"Alabama","1954",14066
"Alabama","1955",15921.2
"Alabama","1956",17079.6
"Alabama","1957",18154
"Alabama","1958",18931.3
"Alabama","1959",19908
"Alabama","1960",20753
"Alabama","1961",21440.4
"Alabama","1962",22536.4
"Alabama","1963",23936.2
"Alabama","1964",25990.3
"Alabama","1965",28209.7
"Alabama","1966",30255.4
"Alabama","1967",31967.1
"Alabama","1968",34949.8
"Alabama","1969",38950.8
"Alabama","1970",42513.3
"Alabama","1971",46797.3
"Alabama","1972",51996.3
"Alabama","1973",58555.5
"Alabama","1974",64964.2
"Alabama","1975",72400.4
"Alabama","1976",81296.2
"Alabama","1977",89579.5
"Alabama","1978",101359.7
"Alabama","1979",112605.6
"Alabama","1980",124148.5
"Alabama","1981",137862
"Alabama","1982",145584.5
"Alabama","1983",155882
"Alabama","1984",171480.8
"Alaska ","1948",0
"Alaska ","1949",0
"Alaska ","1950",1565.5
"Alaska ","1951",2149.7
"Alaska ","1952",2460.9
"Alaska ","1953",2598.4
"Alaska ","1954",2517.1
"Alaska ","1955",2562.8
"Alaska ","1956",2707.3
"Alaska ","1957",2677.3
"Alaska ","1958",2688.8
"Alaska ","1959",2801.2
"Alaska ","1960",3225.3
"Alaska ","1961",3185.9
"Alaska ","1962",3323.9
"Alaska ","1963",3602.8
"Alaska ","1964",4034.3
"Alaska ","1965",4353.8
"Alaska ","1966",4634.7
"Alaska ","1967",5054.6
"Alaska ","1968",5460.4
"Alaska ","1969",6301.3
"Alaska ","1970",7195.8
"Alaska ","1971",7936.5
"Alaska ","1972",8667.1
"Alaska ","1973",10030.6
"Alaska ","1974",12170.6
"Alaska ","1975",16627.2
"Alaska ","1976",19573.2
"Alaska ","1977",20327.5
"Alaska ","1978",20943.6
"Alaska ","1979",22187.2
"Alaska ","1980",25140.2
"Alaska ","1981",28609.2
"Alaska ","1982",34933.4
"Alaska ","1983",38053.9
"Alaska ","1984",40482.4
"Arizona","1948",3738.2
"Arizona","1949",3835
"Arizona","1950",4257.5
"Arizona","1951",5267.3
"Arizona","1952",5990.2
"Arizona","1953",6359.8
"Arizona","1954",6590.8
"Arizona","1955",7237.1
"Arizona","1956",8158.2
"Arizona","1957",8928.3
"Arizona","1958",9488.8
"Arizona","1959",10473.5
"Arizona","1960",11423.2
"Arizona","1961",12439.4
"Arizona","1962",13399.1
"Arizona","1963",14086.3
"Arizona","1964",15108.4
"Arizona","1965",16015.2
"Arizona","1966",17438.9
"Arizona","1967",18957.4
"Arizona","1968",21749.4
"Arizona","1969",25308.2
"Arizona","1970",28864.5
"Arizona","1971",33022.2
"Arizona","1972",37858.6
"Arizona","1973",43736.8
"Arizona","1974",49344.5
"Arizona","1975",53271
"Arizona","1976",59252.7
"Arizona","1977",66587.2
"Arizona","1978",78238.4
"Arizona","1979",91946.5
"Arizona","1980",105910.4
"Arizona","1981",120988.2
"Arizona","1982",128789.5
"Arizona","1983",141810.4
"Arizona","1984",160222.4
"Arkansas","1948",6429.8
"Arkansas","1949",6035.3
"Arkansas","1950",6482.9
"Arkansas","1951",7374.3
"Arkansas","1952",7668.7
"Arkansas","1953",7717.7
"Arkansas","1954",7632.8
"Arkansas","1955",8295.9
"Arkansas","1956",8598.6
"Arkansas","1957",8875.7
"Arkansas","1958",9244.4
"Arkansas","1959",10089.1
"Arkansas","1960",10191.9
"Arkansas","1961",11086.5
"Arkansas","1962",11862.3
"Arkansas","1963",12568.6
"Arkansas","1964",13649.3
"Arkansas","1965",14408.5
"Arkansas","1966",16019.4
"Arkansas","1967",17017.1
"Arkansas","1968",18403.7
"Arkansas","1969",20514.2
"Arkansas","1970",22506
"Arkansas","1971",25052.4
"Arkansas","1972",28284.8
"Arkansas","1973",33504.3
"Arkansas","1974",37414.2
"Arkansas","1975",41168.4
"Arkansas","1976",45515.6
"Arkansas","1977",50647
"Arkansas","1978",58675.1
"Arkansas","1979",64351.9
"Arkansas","1980",69553.3
"Arkansas","1981",78810.5
"Arkansas","1982",82809
"Arkansas","1983",87739.3
"Arkansas","1984",97833.7
"California","1948",73098
"California","1949",74406.8
"California","1950",83152.5
"California","1951",96468.9
"California","1952",107176.3
"California","1953",114912.5
"California","1954",118414.7
"California","1955",130200.2
"California","1956",142462.7
"California","1957",153078.1
"California","1958",161009.6
"California","1959",176125.4
"California","1960",186084.6
"California","1961",197066.3
"California","1962",212342
"California","1963",226960.2
"California","1964",245618.4
"California","1965",262469.9
"California","1966",285423.8
"California","1967",306926.3
"California","1968",336222.9
"California","1969",368640.2
"California","1970",397669.9
"California","1971",423948.8
"California","1972",465404.3
"California","1973",511109
"California","1974",570029.7
"California","1975",630559.7
"California","1976",699699.2
"California","1977",776131.5
"California","1978",882560.1
"California","1979",1000695.6
"California","1980",1137231.9
"California","1981",1278228.7
"California","1982",1369369.8
"California","1983",1479235.2
"California","1984",1643185.6
"Colorado","1948",7522.5
"Colorado","1949",7658.3
"Colorado","1950",8395.5
"Colorado","1951",9975.1
"Colorado","1952",10770
"Colorado","1953",10903.1
"Colorado","1954",11234.6
"Colorado","1955",12239
"Colorado","1956",13503.9
"Colorado","1957",14796.3
"Colorado","1958",15148.5
"Colorado","1959",16271.9
"Colorado","1960",17413.7
"Colorado","1961",18735.7
"Colorado","1962",19768.4
"Colorado","1963",20697.6
"Colorado","1964",21896.6
"Colorado","1965",23362.6
"Colorado","1966",25103.1
"Colorado","1967",27053.8
"Colorado","1968",30011
"Colorado","1969",33755.4
"Colorado","1970",38160.8
"Colorado","1971",43038.7
"Colorado","1972",48704.3
"Colorado","1973",55692.4
"Colorado","1974",62436.7
"Colorado","1975",68998.9
"Colorado","1976",75925
"Colorado","1977",84697
"Colorado","1978",97654.1
"Colorado","1979",111917.1
"Colorado","1980",128203.4
"Colorado","1981",147531.5
"Colorado","1982",162023.6
"Colorado","1983",174776.9
"Colorado","1984",190578.5
"Connecticut","1948",14035.5
"Connecticut","1949",13669.4
"Connecticut","1950",15470.3
"Connecticut","1951",17776.6
"Connecticut","1952",19443
"Connecticut","1953",21079.4
"Connecticut","1954",21495.1
"Connecticut","1955",23151.4
"Connecticut","1956",25294
"Connecticut","1957",26977.3
"Connecticut","1958",26151.9
"Connecticut","1959",27947.7
"Connecticut","1960",29104.4
"Connecticut","1961",30807
"Connecticut","1962",32908.9
"Connecticut","1963",34764.3
"Connecticut","1964",37339.2
"Connecticut","1965",40154.4
"Connecticut","1966",44094
"Connecticut","1967",48345.7
"Connecticut","1968",51315.1
"Connecticut","1969",58770.1
"Connecticut","1970",62695.3
"Connecticut","1971",66057.6
"Connecticut","1972",71218.7
"Connecticut","1973",77573.4
"Connecticut","1974",84629
"Connecticut","1975",90902.2
"Connecticut","1976",98145.6
"Connecticut","1977",108130.6
"Connecticut","1978",120323.5
"Connecticut","1979",135254.4
"Connecticut","1980",153975.8
"Connecticut","1981",172972
"Connecticut","1982",186805.3
"Connecticut","1983",199833
"Connecticut","1984",223522.7
"Delaware","1948",2095.7
"Delaware","1949",2280.1
"Delaware","1950",2672.6
"Delaware","1951",2870.9
"Delaware","1952",3080.5
"Delaware","1953",3300.1
"Delaware","1954",3428.1
"Delaware","1955",3955.5
"Delaware","1956",4565
"Delaware","1957",4595.9
"Delaware","1958",4724.1
"Delaware","1959",4926.2
"Delaware","1960",5160.3
"Delaware","1961",5324.8
"Delaware","1962",5654.1
"Delaware","1963",6066.8
"Delaware","1964",6564.8
"Delaware","1965",7222.6
"Delaware","1966",7610.3
"Delaware","1967",8122.3
"Delaware","1968",8860.8
"Delaware","1969",9764.7
"Delaware","1970",10399.7
"Delaware","1971",11376.3
"Delaware","1972",12499.8
"Delaware","1973",13849.1
"Delaware","1974",14988.3
"Delaware","1975",16116.9
"Delaware","1976",17615.9
"Delaware","1977",18964.5
"Delaware","1978",20806.4
"Delaware","1979",22867.8
"Delaware","1980",25722
"Delaware","1981",28376.6
"Delaware","1982",30536.5
"Delaware","1983",32526.5
"Delaware","1984",35890.1
"District of Columbia","1948",7122.5
"District of Columbia","1949",7379.1
"District of Columbia","1950",7826
"District of Columbia","1951",8232.6
"District of Columbia","1952",8670.9
"District of Columbia","1953",8420.3
"District of Columbia","1954",8294
"District of Columbia","1955",8235.4
"District of Columbia","1956",8623.1
"District of Columbia","1957",8969.4
"District of Columbia","1958",9167.2
"District of Columbia","1959",9453.6
"District of Columbia","1960",9561.8
"District of Columbia","1961",10069.8
"District of Columbia","1962",10836.7
"District of Columbia","1963",11507
"District of Columbia","1964",12216.9
"District of Columbia","1965",13163
"District of Columbia","1966",13745.4
"District of Columbia","1967",14728.1
"District of Columbia","1968",15461.4
"District of Columbia","1969",15054
"District of Columbia","1970",16697.7
"District of Columbia","1971",18588.1
"District of Columbia","1972",20173.9
"District of Columbia","1973",21264.4
"District of Columbia","1974",23074.9
"District of Columbia","1975",25098.7
"District of Columbia","1976",26592.3
"District of Columbia","1977",28550.2
"District of Columbia","1978",30417.7
"District of Columbia","1979",32012
"District of Columbia","1980",33789.7
"District of Columbia","1981",36376.2
"District of Columbia","1982",38776.4
"District of Columbia","1983",40770.7
"District of Columbia","1984",44505.1
"Far West","1948",98785.4
"Far West","1949",100173.2
"Far West","1950",116772.7
"Far West","1951",134502.7
"Far West","1952",148140.7
"Far West","1953",157761.7
"Far West","1954",161868.8
"Far West","1955",176465.8
"Far West","1956",191353.7
"Far West","1957",203980.8
"Far West","1958",213169.4
"Far West","1959",232090.8
"Far West","1960",245114.6
"Far West","1961",259080.2
"Far West","1962",279232.1
"Far West","1963",296969.6
"Far West","1964",320270.7
"Far West","1965",343197.2
"Far West","1966",374260.2
"Far West","1967",403021.1
"Far West","1968",442862.4
"Far West","1969",486900.4
"Far West","1970",526302.2
"Far West","1971",562548.5
"Far West","1972",617411.4
"Far West","1973",682356.2
"Far West","1974",764777.8
"Far West","1975",851595.9
"Far West","1976",946699.8
"Far West","1977",1049604.7
"Far West","1978",1195942.5
"Far West","1979",1357143.2
"Far West","1980",1540128.3
"Far West","1981",1722864.8
"Far West","1982",1842467
"Far West","1983",1985932.7
"Far West","1984",2188231.1
"Florida","1948",12791
"Florida","1949",13298.2
"Florida","1950",15180.7
"Florida","1951",17170.6
"Florida","1952",19430.8
"Florida","1953",21666.2
"Florida","1954",22830.5
"Florida","1955",26119.6
"Florida","1956",30264.5
"Florida","1957",33497.9
"Florida","1958",36424.3
"Florida","1959",40212.7
"Florida","1960",42126.3
"Florida","1961",44661.5
"Florida","1962",48223.7
"Florida","1963",51755.8
"Florida","1964",56621.5
"Florida","1965",61893.5
"Florida","1966",67902.5
"Florida","1967",75087
"Florida","1968",86322.2
"Florida","1969",100019.7
"Florida","1970",113104.8
"Florida","1971",127025.5
"Florida","1972",146199.9
"Florida","1973",170313.4
"Florida","1974",191532.5
"Florida","1975",208671.7
